#front|back|emoji|category|added|lastSeen|seen|penalty|level
Necesito preparar mi mochila | I need to prepare my backpack |  | phrase | 2026-03-12 | 2026-03-18 | 8 | 7 | 0
El clima cambia rápido en la montaña | The weather changes quickly in the mountains |  | phrase | 2026-03-12 | 2026-03-16 | 6 | 9 | 0
¿Tienes un mapa? | Do you have a map? |  | phrase | 2026-03-12 | 2026-03-13 | 4 | 9 | -1
Nos encontramos aquí mañana | We meet here tomorrow |  | phrase | 2026-03-12 | 2026-03-18 | 7 | 13 | 0
aunque | although |  | miscellaneous | 2026-03-12 | 2026-03-18 | 10 | 15 | 0
mientras | while |  | miscellaneous | 2026-03-12 | 2026-03-20 | 8 | 12 | 0
sin embargo | however |  | miscellaneous | 2026-03-12 | 2026-03-17 | 8 | 2 | 1
además | besides |  | miscellaneous | 2026-03-12 | 2026-03-16 | 11 | 0 | 0
todavía | still / yet |  | miscellaneous | 2026-03-12 | 2026-03-16 | 12 | 2 | 0
ya | already |  | miscellaneous | 2026-03-12 | 2026-03-14 | 6 | 10 | 0
casi | almost |  | miscellaneous | 2026-03-12 | 2026-03-14 | 6 | 10 | 0
quizás | maybe |  | miscellaneous | 2026-03-12 | 2026-03-13 | 7 | 11 | -1
seguramente | surely |  | adverb | 2026-03-12 | 2026-03-14 | 6 | 6 | -1
seguir | to continue (to carry on) |  | verb | 2026-03-12 | 2026-03-19 | 9 | 3 | 1
mover | to move |  | verb | 2026-03-12 | 2026-03-19 | 7 | 10 | 0
cambiar | to change |  | verb | 2026-03-12 | 2026-03-13 | 3 | 5 | -1
ocurrir | to happen |  | verb | 2026-03-12 | 2026-03-12 | 1 | 1 | -1
resultar | to turn out |  | verb | 2026-03-12 | 2026-03-17 | 6 | 6 | 0
la pared | wall |  | noun | 2026-03-12 | 2026-03-13 | 4 | 7 | -1
el letrero | sign |  | noun | 2026-03-12 | 2026-03-19 | 7 | 4 | 0
la señal | sign / signal |  | noun | 2026-03-12 | 2026-03-16 | 10 | 17 | 0
la camisa | shirt | 👕 | noun | 2026-03-12 | 2026-03-19 | 5 | 10 | -1
la caja | box | 📦 | noun | 2026-03-12 | 2026-03-19 | 3 | 0 | 1
el suelo | floor / ground |  | noun | 2026-03-12 | 2026-03-17 | 11 | 10 | 0
el edificio | building | 🏢 | noun | 2026-03-12 | 2026-03-17 | 10 | 17 | 0
la acera | sidewalk |  | noun | 2026-03-12 | 2026-03-17 | 9 | 6 | 0
la esquina | corner |  | noun | 2026-03-12 | 2026-03-17 | 5 | 7 | 0
el techo | ceiling / roof |  | noun | 2026-03-12 | 2026-03-12 | 1 | 1 | -1
la escalera | staircase |  | noun | 2026-03-12 | 2026-03-19 | 8 | 13 | -1
el ascensor | elevator | 🛗 | noun | 2026-03-12 | 2026-03-17 | 7 | 6 | 0
el pasillo | hallway |  | noun | 2026-03-12 | 2026-03-16 | 10 | -2 | 0
el barrio | neighborhood |  | noun | 2026-03-12 | 2026-03-16 | 4 | 7 | -1
la avenida | avenue | 🛣️ | noun | 2026-03-12 | 2026-03-13 | 3 | 5 | -1
el puente | bridge | 🌉 | noun | 2026-03-12 | 2026-03-16 | 10 | 18 | 0
el semáforo | traffic light | 🚦 | noun | 2026-03-12 | 2026-03-18 | 6 | 5 | 0
el banco | bench |  | noun | 2026-03-12 | 2026-03-18 | 6 | 1 | 0
la farola | streetlight |  | noun | 2026-03-12 | 2026-03-18 | 3 | 0 | 1
el poste | pole |  | noun | 2026-03-12 | 2026-03-16 | 5 | 12 | -1
la reja | metal gate / bars |  | noun | 2026-03-12 | 2026-03-14 | 5 | 0 | 0
el buzón | mailbox | 📬 | noun | 2026-03-12 | 2026-03-18 | 3 | 0 | 1
la vitrina | display case |  | noun | 2026-03-12 | 2026-03-20 | 15 | -3 | 0
el escaparate | shop window |  | noun | 2026-03-12 | 2026-03-18 | 6 | 1 | 0
la papelera | trash can | 🗑️ | noun | 2026-03-12 | 2026-03-17 | 4 | 2 | 0
el carrito | cart | 🛒 | noun | 2026-03-12 | 2026-03-18 | 3 | 0 | 1
la mochila | backpack | 🎒 | noun | 2026-03-12 | 2026-03-14 | 8 | 3 | 0
el uniforme | uniform | 👨‍✈️ | noun | 2026-03-12 | 2026-03-16 | 6 | 8 | 0
la gorra | cap | 🧢 | noun | 2026-03-12 | 2026-03-14 | 7 | 7 | 0
la montaña | mountain | ⛰️ | noun | 2026-03-13 | 2026-03-19 | 2 | 6 | -1
el sendero | trail / path |  | noun | 2026-03-13 | 2026-03-19 | 8 | 5 | 0
nublado, o nublada | cloudy | ☁️ | adjective | 2026-03-13 | 2026-03-19 | 7 | 13 | 0
la lluvia | rain | 🌧️ | noun | 2026-03-13 | 2026-03-19 | 10 | 17 | -1
regresar | to return (long journey) | 🔙 | verb | 2026-03-13 | 2026-03-19 | 12 | 18 | 0
devolver | to return (an item) |  | verb | 2026-03-13 | 2026-03-19 | 6 | 12 | 0
disfrutar | to enjoy | 😊 | verb | 2026-03-13 | 2026-03-19 | 7 | 13 | 0
tengo sueño | I am sleepy | 😴 | phrase | 2026-03-13 | 2026-03-14 | 5 | 4 | 0
vamos por este sendero | let's go along this trail |  | phrase | 2026-03-13 | 2026-03-20 | 11 | 6 | 0
creo que viene lluvia | I think rain is coming | 🌧️ | phrase | 2026-03-13 | 2026-03-19 | 12 | 5 | 0
podemos regresar al coche | we can return to the car |  | phrase | 2026-03-13 | 2026-03-19 | 7 | 2 | 0
disfruto mucho este lugar | I enjoy this place a lot | 😊 | phrase | 2026-03-13 | 2026-03-18 | 7 | 3 | 0
la mantequilla | butter | 🧈 | noun | 2026-03-13 | 2026-03-19 | 3 | 8 | -1
la pasta | pasta | 🍝 | noun | 2026-03-13 | 2026-03-17 | 3 | 7 | -1
la sopa | soup | 🍲 | noun | 2026-03-13 | 2026-03-13 | 2 | 5 | -1
los mariscos | seafood | 🦐 | noun | 2026-03-13 | 2026-03-19 | 10 | 14 | 0
las verduras | vegetables | 🥕 | noun | 2026-03-13 | 2026-03-17 | 5 | 2 | 0
la papa | potato | 🥔 | noun | 2026-03-13 | 2026-03-18 | 4 | 7 | -1
el tomate | tomato | 🍅 | noun | 2026-03-13 | 2026-03-19 | 4 | 10 | -1
la cebolla | onion | 🧅 | noun | 2026-03-13 | 2026-03-16 | 8 | 8 | 1
el ajo | garlic | 🧄 | noun | 2026-03-13 | 2026-03-16 | 8 | 12 | 0
el limón | lemon | 🍋 | noun | 2026-03-13 | 2026-03-19 | 3 | 8 | -1
la fresa | strawberry | 🍓 | noun | 2026-03-13 | 2026-03-19 | 7 | 7 | 0
el postre | dessert | 🍰 | noun | 2026-03-13 | 2026-03-16 | 1 | 3 | -1
horneado, o horneada | baked | 🔥 | adjective | 2026-03-13 | 2026-03-19 | 8 | 2 | 0
frito, o frita | fried | 🍳 | adjective | 2026-03-13 | 2026-03-16 | 6 | 9 | 0
asado, o asada | roasted / grilled | 🔥 | adjective | 2026-03-13 | 2026-03-20 | 6 | 8 | 0
a la parrilla | grilled | 🔥 | phrase | 2026-03-13 | 2026-03-19 | 6 | 1 | 0
a la plancha | grilled on a flat top | 🍳 | phrase | 2026-03-13 | 2026-03-18 | 7 | 2 | 0
estofado, o estofada | stewed / braised | 🍲 | adjective | 2026-03-13 | 2026-03-19 | 11 | 0 | 0
picante | spicy | 🌶️ | adjective | 2026-03-13 | 2026-03-18 | 10 | 19 | -1
dulce | sweet | 🍯 | adjective | 2026-03-13 | 2026-03-18 | 5 | 11 | -1
salado, o salada | salty / savory | 🧂 | adjective | 2026-03-13 | 2026-03-17 | 5 | 8 | 0
crujiente | crunchy |  | adjective | 2026-03-13 | 2026-03-19 | 5 | 6 | 0
tierno, o tierna | tender |  | adjective | 2026-03-13 | 2026-03-19 | 10 | 0 | 0
la salsa | sauce | 🫗 | noun | 2026-03-13 | 2026-03-14 | 3 | 7 | -1
las hierbas | herbs | 🌿 | noun | 2026-03-13 | 2026-03-18 | 6 | 6 | 0
el aceite de oliva | olive oil | 🫒 | noun | 2026-03-13 | 2026-03-17 | 7 | 10 | 0
la albahaca | basil | 🌿 | noun | 2026-03-14 | 2026-03-19 | 24 | -4 | 0
el pepino | cucumber | 🥒 | noun | 2026-03-14 | 2026-03-18 | 4 | 2 | 0
la aceituna | olive | 🫒 | noun | 2026-03-14 | 2026-03-19 | 5 | 8 | 0
salteado, o salteada | sautéed | 🍳 | adjective | 2026-03-14 | 2026-03-20 | 6 | 6 | 0
el romero | rosemary | 🌿 | noun | 2026-03-14 | 2026-03-18 | 6 | 5 | 0
la zanahoria | carrot | 🥕 | noun | 2026-03-14 | 2026-03-20 | 6 | 7 | 0
el calabacín | zucchini |  | noun | 2026-03-14 | 2026-03-20 | 6 | -6 | 1
el champiñón | mushroom | 🍄 | noun | 2026-03-14 | 2026-03-20 | 4 | 4 | 0
la tarta | pie / tart | 🥧 | noun | 2026-03-14 | 2026-03-15 | 4 | 8 | -1
la canela | cinnamon |  | noun | 2026-03-14 | 2026-03-19 | 9 | -2 | 0
el helado | ice cream | 🍨 | noun | 2026-03-14 | 2026-03-16 | 3 | 5 | -1
la vainilla | vanilla |  | noun | 2026-03-14 | 2026-03-14 | 2 | 2 | 0
cremoso, o cremosa | creamy |  | adjective | 2026-03-14 | 2026-03-20 | 8 | 5 | 0
crujiente | crunchy |  | adjective | 2026-03-14 | 2026-03-17 | 15 | -5 | 0
fresco, o fresca | fresh | 🥬 | adjective | 2026-03-14 | 2026-03-19 | 2 | 4 | 0
¿puedo ver el menú? | can I see the menu? | 📋 | phrase | 2026-03-14 | 2026-03-20 | 7 | 8 | 0
¿qué recomienda? | what do you recommend? | ⭐ | phrase | 2026-03-14 | 2026-03-19 | 10 | 2 | 0
quiero pedir | I want to order | 🍽️ | phrase | 2026-03-14 | 2026-03-18 | 9 | 7 | 0
para mí | for me | 🙋 | phrase | 2026-03-14 | 2026-03-14 | 2 | 4 | 0
sin sal | without salt | 🧂 | phrase | 2026-03-14 | 2026-03-19 | 4 | 10 | -1
sin azúcar | without sugar | 🚫🍬 | phrase | 2026-03-14 | 2026-03-17 | 4 | 9 | -1
con hielo | with ice | 🧊 | phrase | 2026-03-14 | 2026-03-15 | 3 | 2 | 0
para llevar | to take away / takeaway | 🥡 | phrase | 2026-03-14 | 2026-03-20 | 2 | 3 | 0
¿está incluido el servicio? | is service included? |  | phrase | 2026-03-14 | 2026-03-19 | 10 | 0 | 0
¿puedo pagar con tarjeta? | can I pay with card? | 💳 | phrase | 2026-03-14 | 2026-03-20 | 4 | 5 | 0
la almeja | clam | 🦪 | noun | 2026-03-15 | 2026-03-20 | 30 | -19 | 0
el mejillón | mussel | 🦪 | noun | 2026-03-15 | 2026-03-20 | 21 | -3 | 0
la parrillada | mixed grill | 🔥 | noun | 2026-03-15 | 2026-03-19 | 19 | -6 | 0
la guarnición | side dish | 🍽️ | noun | 2026-03-15 | 2026-03-18 | 4 | 2 | 0
la berenjena | eggplant | 🍆 | noun | 2026-03-15 | 2026-03-20 | 36 | -17 | 0
el pimiento | bell pepper | 🫑 | noun | 2026-03-15 | 2026-03-20 | 6 | 8 | 0
la remolacha | beet |  | noun | 2026-03-15 | 2026-03-19 | 10 | 1 | 0
la alcaparra | caper |  | noun | 2026-03-15 | 2026-03-19 | 12 | 0 | 0
marinado, o marinada | marinated |  | adjective | 2026-03-15 | 2026-03-19 | 2 | 5 | -1
ahumado, o ahumada | smoked |  | adjective | 2026-03-15 | 2026-03-20 | 8 | 2 | 0
caramelizado, o caramelizada | caramelized |  | adjective | 2026-03-15 | 2026-03-18 | 1 | 2 | 0
picado, o picada | chopped | 🔪 | adjective | 2026-03-15 | 2026-03-18 | 9 | 8 | 0
relleno, o rellena | stuffed | 🥟 | adjective | 2026-03-15 | 2026-03-19 | 1 | 2 | 0
la masa | dough | 🥖 | noun | 2026-03-15 | 2026-03-19 | 2 | 1 | 0
la corteza | crust |  | noun | 2026-03-15 | 2026-03-19 | 20 | -3 | 0
el caldo | broth | 🍲 | noun | 2026-03-15 | 2026-03-19 | 10 | 3 | 0
reducido, o reducida | reduced (sauce) |  | adjective | 2026-03-15 | 2026-03-19 | 2 | 2 | 0
la parrilla | grill | 🔥 | noun | 2026-03-15 | 2026-03-18 | 11 | -1 | 0
la sartén | frying pan | 🍳 | noun | 2026-03-15 | 2026-03-19 | 24 | -8 | 0
la receta | recipe | 📜 | noun | 2026-03-15 | 2026-03-19 | 3 | 6 | 0
no necesito esforzarme mucho | I don't need to make a big effort |  | phrase | 2026-03-15 | 2026-03-19 | 7 | 4 | 0
ayer fui al restaurante | yesterday I went to the restaurant | 🍽️ | phrase | 2026-03-15 | 2026-03-18 | 3 | 1 | 0
ayer comí pescado | yesterday I ate fish | 🐟 | phrase | 2026-03-15 | 2026-03-19 | 4 | 3 | 0
anoche cené con amigos | last night I had dinner with friends | 🌙 | phrase | 2026-03-15 | 2026-03-20 | 15 | -4 | 0
cuando era niño comía aquí | when I was a child I used to eat here | 👦 | phrase | 2026-03-15 | 2026-03-19 | 10 | 3 | 0
antes vivía en Canadá | before, I used to live in Canada | 🇨🇦 | phrase | 2026-03-15 | 2026-03-17 | 11 | -2 | -1
ayer hicimos una reserva | yesterday we made a reservation | 📞 | phrase | 2026-03-15 | 2026-03-18 | 13 | 1 | 0
ayer tuvimos hambre | yesterday we were hungry | 😋 | phrase | 2026-03-15 | 2026-03-19 | 15 | 1 | 0
ayer vino mi amigo | yesterday my friend came | 👬 | phrase | 2026-03-15 | 2026-03-19 | 17 | -2 | 0
ayer dije la verdad | yesterday I told the truth | 🗣️ | phrase | 2026-03-15 | 2026-03-20 | 8 | 6 | 0
ayer pude pagar con tarjeta | yesterday I was able to pay with card | 💳 | phrase | 2026-03-15 | 2026-03-18 | 10 | 2 | 0
aceptar | to accept | ✅ | verb | 2026-03-15 | 2026-03-19 | 3 | 4 | 0
acompañar | to accompany | 👥 | verb | 2026-03-15 | 2026-03-19 | 3 | 5 | 0
acordar | to agree / decide |  | verb | 2026-03-15 | 2026-03-19 | 7 | 3 | 0
adivinar | to guess | 🤔 | verb | 2026-03-15 | 2026-03-19 | 12 | 3 | 0
afectar | to affect |  | verb | 2026-03-15 | 2026-03-19 | 8 | 9 | 0
agregar | to add | ➕ | verb | 2026-03-15 | 2026-03-19 | 3 | 4 | 0
alcanzar | to reach |  | verb | 2026-03-15 | 2026-03-19 | 9 | 3 | 0
anunciar | to announce | 📢 | verb | 2026-03-15 | 2026-03-16 | 4 | 1 | 0
apoyar | to support |  | verb | 2026-03-15 | 2026-03-19 | 14 | 1 | 0
arreglar | to fix / repair | 🔧 | verb | 2026-03-15 | 2026-03-19 | 4 | 4 | 0
atender | to attend / assist | 🧑 | verb | 2026-03-15 | 2026-03-19 | 4 | 1 | 0
avanzar | to advance | ⏩ | verb | 2026-03-15 | 2026-03-18 | 12 | 0 | 0
bajar | to go down / lower | ⬇️ | verb | 2026-03-15 | 2026-03-20 | 2 | 2 | 0
calentar | to heat | 🔥 | verb | 2026-03-15 | 2026-03-19 | 14 | -1 | 0
caminar | to walk | 🚶 | verb | 2026-03-15 | 2026-03-18 | 1 | 3 | -1
cancelar | to cancel | ❌ | verb | 2026-03-15 | 2026-03-18 | 3 | 7 | -1
cocinar | to cook | 👨‍🍳 | verb | 2026-03-15 | 2026-03-17 | 4 | 9 | -1
comprobar | to check / verify | ✔️ | verb | 2026-03-15 | 2026-03-19 | 9 | -4 | 0
conducir | to drive | 🚗 | verb | 2026-03-15 | 2026-03-19 | 7 | 8 | -1
confiar | to trust |  | verb | 2026-03-15 | 2026-03-19 | 15 | 1 | 0
congelar | to freeze | ❄️ | verb | 2026-03-15 | 2026-03-18 | 6 | 4 | 0
considerar | to consider |  | verb | 2026-03-15 | 2026-03-19 | 5 | 8 | 0
contener | to contain | 📦 | verb | 2026-03-15 | 2026-03-20 | 5 | 8 | 0
continuar | to continue (formal or after a break) | ▶️ | verb | 2026-03-15 | 2026-03-19 | 4 | 4 | 0
contribuir | to contribute |  | verb | 2026-03-15 | 2026-03-18 | 3 | 6 | 0
controlar | to control |  | verb | 2026-03-15 | 2026-03-19 | 5 | 3 | 0
convencer | to convince | 🗣️ | verb | 2026-03-15 | 2026-03-19 | 8 | 5 | 0
cortar | to cut | 🔪 | verb | 2026-03-15 | 2026-03-18 | 4 | 1 | 0
crear | to create | 🎨 | verb | 2026-03-15 | 2026-03-18 | 7 | 7 | -1
cruzar | to cross |  | verb | 2026-03-15 | 2026-03-17 | 9 | 3 | 0
cuidar | to take care of | ❤️ | verb | 2026-03-15 | 2026-03-19 | 2 | 4 | 0
deber | must / to owe |  | verb | 2026-03-15 | 2026-03-20 | 6 | 9 | 0
dejar | to leave / allow |  | verb | 2026-03-15 | 2026-03-19 | 12 | 0 | 0
demostrar | to demonstrate | 📊 | verb | 2026-03-15 | 2026-03-16 | 1 | 2 | 0
desarrollar | to develop |  | verb | 2026-03-15 | 2026-03-19 | 7 | -1 | 0
descubrir | to discover | 🔎 | verb | 2026-03-15 | 2026-03-20 | 7 | 6 | 0
desear | to wish / desire |  | verb | 2026-03-15 | 2026-03-20 | 3 | 5 | 0
detener | to stop / detain | ✋ | verb | 2026-03-15 | 2026-03-19 | 2 | 4 | 0
discutir | to discuss / argue | 💬 | verb | 2026-03-15 | 2026-03-20 | 7 | 8 | 0
dividir | to divide | ➗ | verb | 2026-03-15 | 2026-03-19 | 7 | 13 | -1
la vinagreta | vinaigrette dressing |  | noun | 2026-03-15 | 2026-03-19 | 6 | 6 | 0
guisar | to stew / braise |  | verb | 2026-03-15 | 2026-03-19 | 8 | -5 | 0
la nuez | walnut | 🌰 | noun | 2026-03-15 | 2026-03-19 | 9 | 6 | 0
las gafas de sol | sunglasses | 🕶️ | noun | 2026-03-16 | 2026-03-18 | 5 | 1 | 0
el suéter | sweater |  | noun | 2026-03-16 | 2026-03-20 | 2 | 1 | 0
los pantalones | pants | 👖 | noun | 2026-03-16 | 2026-03-17 | 3 | 7 | -1
los calcetines | socks | 🧦 | noun | 2026-03-16 | 2026-03-19 | 6 | -1 | 0
la taza | mug | ☕ | noun | 2026-03-16 | 2026-03-19 | 4 | 6 | 0
el vaso | drinking glass | 🥛 | noun | 2026-03-16 | 2026-03-18 | 2 | 3 | 0
el tenedor | fork | 🍴 | noun | 2026-03-16 | 2026-03-19 | 4 | 8 | 0
la cuchara | spoon | 🥄 | noun | 2026-03-16 | 2026-03-18 | 2 | 0 | 0
el cuchillo | knife | 🔪 | noun | 2026-03-16 | 2026-03-19 | 10 | 2 | 0
el monitor | monitor | 🖥️ | noun | 2026-03-16 | 2026-03-18 | 2 | 5 | -1
los auriculares | headphones | 🎧 | noun | 2026-03-16 | 2026-03-20 | 5 | -3 | 0
el escritorio | desk |  | noun | 2026-03-16 | 2026-03-19 | 2 | 4 | 0
el ratón | computer mouse | 🖱️ | noun | 2026-03-16 | 2026-03-18 | 5 | 7 | -1
el sótano | basement |  | noun | 2026-03-16 | 2026-03-19 | 9 | 0 | 0
el cordón | shoelace |  | noun | 2026-03-16 | 2026-03-17 | 9 | -1 | 0
la bota | boot | 👢 | noun | 2026-03-16 | 2026-03-19 | 2 | 1 | 0
las manoplas | mittens | 🧤 | noun | 2026-03-16 | 2026-03-20 | 7 | 1 | 0
los guantes | gloves |  | noun | 2026-03-16 | 2026-03-19 | 8 | 1 | 0
la bufanda | scarf | 🧣 | noun | 2026-03-16 | 2026-03-20 | 8 | 4 | 0
la lechuga | lettuce | 🥬 | noun | 2026-03-16 | 2026-03-19 | 2 | -1 | 0
al parecer | apparently |  | phrase | 2026-03-16 | 2026-03-19 | 7 | 1 | 0
nunca lo he usado | I have never used it |  | phrase | 2026-03-16 | 2026-03-18 | 3 | 2 | 0
yo hablé | I spoke / I talked (preterit) |  | verb form | 2026-03-16 | 2026-03-19 | 4 | 3 | 0
tú hablaste | you spoke / you talked (preterit) |  | verb form | 2026-03-16 | 2026-03-16 | 0 | 0 | 1
yo comí | I ate (preterit) |  | verb form | 2026-03-16 | 2026-03-20 | 4 | 2 | 0
tú comiste | you ate (preterit) |  | verb form | 2026-03-16 | 2026-03-19 | 8 | 1 | 0
yo viví | I lived (preterit) |  | verb form | 2026-03-16 | 2026-03-19 | 1 | 2 | 0
tú viviste | you lived (preterit) |  | verb form | 2026-03-16 | 2026-03-19 | 4 | 0 | 0
yo hablaba | I was speaking / I used to speak (imperfect) |  | verb form | 2026-03-16 | 2026-03-20 | 6 | 0 | 0
tú hablabas | you were speaking / you used to speak (imperfect) |  | verb form | 2026-03-16 | 2026-03-18 | 4 | 0 | 0
yo comía | I was eating / I used to eat (imperfect) |  | verb form | 2026-03-16 | 2026-03-19 | 14 | -3 | 0
tú comías | you were eating / you used to eat (imperfect) |  | verb form | 2026-03-16 | 2026-03-19 | 7 | 0 | 0
yo vivía | I was living / I used to live (imperfect) |  | verb form | 2026-03-16 | 2026-03-20 | 10 | 8 | 0
tú vivías | you were living / you used to live (imperfect) |  | verb form | 2026-03-16 | 2026-03-19 | 11 | -2 | 0
yo fui | I went (preterit) |  | verb form | 2026-03-16 | 2026-03-19 | 12 | 1 | 0
tú fuiste | you went (preterit) |  | verb form | 2026-03-16 | 2026-03-18 | 7 | 0 | 0
yo tuve | I had (preterit) |  | verb form | 2026-03-16 | 2026-03-19 | 4 | 4 | 0
tú tuviste | you had (preterit) |  | verb form | 2026-03-16 | 2026-03-20 | 4 | 3 | 0
yo hice | I did / I made (preterit) |  | verb form | 2026-03-16 | 2026-03-19 | 5 | -1 | 0
tú hiciste | you did / you made (preterit) |  | verb form | 2026-03-16 | 2026-03-20 | 8 | 3 | 0
yo dije | I said (preterit) |  | verb form | 2026-03-16 | 2026-03-19 | 4 | 1 | 0
tú dijiste | you said (preterit) |  | verb form | 2026-03-16 | 2026-03-19 | 11 | 2 | 0
yo pude | I was able / I managed (preterit) |  | verb form | 2026-03-16 | 2026-03-19 | 7 | 4 | 0
tú pudiste | you were able / you managed (preterit) |  | verb form | 2026-03-16 | 2026-03-19 | 8 | -2 | 0
yo puse | I put (preterit) |  | verb form | 2026-03-16 | 2026-03-19 | 4 | 0 | 0
tú pusiste | you put (preterit) |  | verb form | 2026-03-16 | 2026-03-19 | 4 | 3 | 0
yo estuve | I was (preterit, temporary) |  | verb form | 2026-03-16 | 2026-03-19 | 7 | -2 | 0
tú estuviste | you were (preterit, temporary) |  | verb form | 2026-03-16 | 2026-03-20 | 5 | -1 | 0
yo vi | I saw (preterit) |  | verb form | 2026-03-16 | 2026-03-19 | 5 | 3 | 0
tú viste | you saw (preterit) |  | verb form | 2026-03-16 | 2026-03-17 | 4 | 0 | 0
yo era | I was / I used to be (imperfect, temporary) |  | verb form | 2026-03-16 | 2026-03-20 | 8 | -1 | 0
tú eras | you were / you used to be (imperfect, temporary) |  | verb form | 2026-03-16 | 2026-03-20 | 7 | -4 | 1
yo iba | I was going / I used to go (imperfect) |  | verb form | 2026-03-16 | 2026-03-19 | 14 | -2 | 0
tú ibas | you were going / you used to go (imperfect) |  | verb form | 2026-03-16 | 2026-03-19 | 4 | 1 | 0
yo veía | I was seeing / I used to see (imperfect) |  | verb form | 2026-03-16 | 2026-03-16 | 0 | 0 | 1
tú veías | you were seeing / you used to see (imperfect) |  | verb form | 2026-03-16 | 2026-03-20 | 9 | -3 | 0
lograr | to achieve |  | verb | 2026-03-17 | 2026-03-19 | 4 | 4 | 0
evitar | to avoid |  | verb | 2026-03-17 | 2026-03-19 | 4 | 2 | 0
incluir | to include |  | verb | 2026-03-17 | 2026-03-19 | 3 | 6 | 0
mantener | to maintain |  | verb | 2026-03-17 | 2026-03-19 | 1 | 2 | 0
recordar | to remember |  | verb | 2026-03-17 | 2026-03-19 | 4 | 9 | -1
olvidar | to forget |  | verb | 2026-03-17 | 2026-03-17 | 0 | 0 | 1
así | like this / thus |  | miscellaneous | 2026-03-17 | 2026-03-20 | 8 | 4 | 0
al menos | at least |  | phrase | 2026-03-17 | 2026-03-19 | 1 | 1 | 0
en realidad | actually / in reality |  | phrase | 2026-03-17 | 2026-03-19 | 2 | 4 | 0
de hecho | in fact |  | phrase | 2026-03-17 | 2026-03-19 | 5 | 0 | 0
porque de hecho | because in fact |  | phrase | 2026-03-17 | 2026-03-19 | 7 | 2 | 0
ya que | since / because |  | phrase | 2026-03-17 | 2026-03-19 | 5 | 0 | 0
por lo tanto | therefore |  | phrase | 2026-03-17 | 2026-03-19 | 8 | -1 | 0
la razón | reason |  | noun | 2026-03-17 | 2026-03-19 | 3 | 5 | 0
el resultado | result |  | noun | 2026-03-17 | 2026-03-20 | 2 | 3 | 0
el cambio | change |  | noun | 2026-03-17 | 2026-03-20 | 2 | 0 | 0
la diferencia | difference |  | noun | 2026-03-17 | 2026-03-20 | 6 | 12 | 0
la experiencia | experience |  | noun | 2026-03-17 | 2026-03-18 | 2 | 5 | -1
mismo, o misma | same |  | adjective | 2026-03-17 | 2026-03-19 | 5 | 9 | 0
capaz | capable |  | adjective | 2026-03-17 | 2026-03-18 | 1 | 0 | 0
suficiente | enough / sufficient |  | adjective | 2026-03-17 | 2026-03-19 | 3 | 6 | 0
demasiado, o demasiada | too much / too many |  | adverb | 2026-03-17 | 2026-03-17 | 0 | 0 | 1
casi | almost |  | adverb | 2026-03-17 | 2026-03-19 | 3 | 6 | -1
al mismo tiempo | at the same time |  | phrase | 2026-03-17 | 2026-03-19 | 1 | 2 | 0
por ejemplo | for example |  | phrase | 2026-03-17 | 2026-03-20 | 3 | 6 | 0
es decir | that is to say |  | phrase | 2026-03-17 | 2026-03-19 | 4 | 0 | 0
en general | in general |  | phrase | 2026-03-17 | 2026-03-19 | 1 | 3 | -1
ayer | yesterday |  | adverb | 2026-03-19 | 2026-03-20 | 4 | 8 | 0
anoche | last night |  | adverb | 2026-03-19 | 2026-03-19 | 1 | 3 | -1
una vez | once / one time |  | adverb | 2026-03-19 | 2026-03-19 | 2 | 5 | -1
de repente | suddenly |  | adverb | 2026-03-19 | 2026-03-20 | 3 | 1 | 0
cuando era niño | when I was a child |  | phrase | 2026-03-19 | 2026-03-19 | 1 | 2 | 0
siempre | always |  | adverb | 2026-03-19 | 2026-03-19 | 1 | 3 | -1
a menudo | often |  | adverb | 2026-03-19 | 2026-03-19 | 0 | 0 | 1
antes | before |  | adverb | 2026-03-19 | 2026-03-19 | 1 | 2 | 0
por cierto | by the way |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
es que | it's just that / the thing is |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
lo que pasa es que | what happens is / the thing is |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
a propósito | by the way / speaking of that |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
a ver (qué/si)... | let's see (what/if)... |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
con razón... | no wonder... |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
por eso... | that's why / for that reason |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
en fin... | anyway / in the end |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
total que | so anyway / long story short |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
resulta (que) | it turns out (that) |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
fíjate (que) | look / you see |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
menos mal (que) | it's a good thing (that) |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
la verdad es (que) | the truth is (that) |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
lo bueno es (que) | the good thing is (that) |  | phrase | 2026-03-20 | 2026-03-20 | 0 | 0 | 1
